get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
more than|public static Validation<String> (int size) { return notEmpty().and(moreThan(size, I18N_MAP.get(i18nPrefix + "MORE_THAN"))); }
validate citizen id number|public static <T extends CharSequence> T (T value, String errorMsg) throws ValidateException { if (false == isCitizenId(value)) { throw new ValidateException(errorMsg); } return value; }
djb hash|public static int (String str) { int hash = 5381; for (int i = 0; i < str.length(); i++) { hash = ((hash << 5) + hash) + str.charAt(i); } return hash & 0x7FFFFFFF; }
read object|private void (ObjectInputStream in) throws IOException, ClassNotFoundException { in.defaultReadObject(); // kryoRegistrations may be null if this value serializer is deserialized from an old version if (kryoRegistrations == null) { this.kryoRegistrations = asKryoRegistrations(type); } }
set skip url string|public void (String skipURL) { this.skipURL = skipURL; getConfig().setProperty(SPIDER_SKIP_URL, this.skipURL); parseSkipURL(this.skipURL); }
resume animation|@MainThread public void () { if (compositionLayer == null) { lazyCompositionTasks.add(new LazyCompositionTask() { @Override public void run(LottieComposition composition) { resumeAnimation(); } }); return; } animator.resumeAnimation(); }
close|@Override public void () throws IOException { if (open) { // stop accepting work, interrupt worker thread. exec.shutdownNow(); try { // give worker thread a bit of time to process the interruption. exec.awaitTermination(1, TimeUnit.SECONDS); } catch (InterruptedException e) { Thread.currentThread().interrupt(); } chan.close(); open = false; } }
run query permanent table|public void (String destinationDataset, String destinationTable) throws InterruptedException { // [START bigquery_query_destination_table] // BigQuery bigquery = BigQueryOptions.getDefaultInstance().getService(); // String destinationDataset = 'my_destination_dataset'; // String destinationTable = 'my_destination_table'; String query = "SELECT corpus FROM `bigquery-public-data.samples.shakespeare` GROUP BY corpus;"; QueryJobConfiguration queryConfig = // Note that setUseLegacySql is set to false by default QueryJobConfiguration.newBuilder(query).setDestinationTable(TableId.of(destinationDataset, destinationTable)).build(); // Print the results. for (FieldValueList row : bigquery.query(queryConfig).iterateAll()) { for (FieldValue val : row) { System.out.printf("%s,", val.toString()); } System.out.printf("\n"); } // [END bigquery_query_destination_table] }
last modified time|public static Date (File file) { if (!exist(file)) { return null; } return new Date(file.lastModified()); }
parse time today|public static DateTime (String timeString) { timeString = StrUtil.format("{} {}", today(), timeString); return parse(timeString, DatePattern.NORM_DATETIME_FORMAT); }
validate cluster specification|private void (ClusterSpecification clusterSpecification) throws FlinkException { try { final long taskManagerMemorySize = clusterSpecification.getTaskManagerMemoryMB(); // We do the validation by calling the calculation methods here // Internally these methods will check whether the cluster can be started with the provided // ClusterSpecification and the configured memory requirements final long cutoff = ContaineredTaskManagerParameters.calculateCutoffMB(flinkConfiguration, taskManagerMemorySize); TaskManagerServices.calculateHeapSizeMB(taskManagerMemorySize - cutoff, flinkConfiguration); } catch (IllegalArgumentException iae) { throw new FlinkException("Cannot fulfill the minimum memory requirements with the provided " + "cluster specification. Please increase the memory of the cluster.", iae); } }
add all|public Environment (@NonNull Map<String, String> map) { map.forEach(( key, value) -> this.props.setProperty(key, value)); return this; }
get granular stats|@java.lang.Deprecated public java.util.Map<java.lang.String, com.google.cloud.automl.v1beta1.TimestampStats.GranularStats> () { return getGranularStatsMap(); }
require positive|@Nonnull public static Number (String name, Number value) { requireNonNull(name, value); requirePositive(name, value.intValue()); return value; }
add strength|private void (String collectName, String queueName, TypeName type) { context.cache.addMethod(MethodSpec.methodBuilder(queueName).addModifiers(context.protectedFinalModifiers()).returns(type).addStatement("return $N", queueName).build()); context.cache.addField(FieldSpec.builder(type, queueName, Modifier.FINAL).initializer("new $T()", type).build()); context.cache.addMethod(MethodSpec.methodBuilder(collectName).addModifiers(context.protectedFinalModifiers()).addStatement("return true").returns(boolean.class).build()); }
handle server header decode size error|protected void (ChannelHandlerContext ctx, Http2Stream stream) { encoder().writeHeaders(ctx, stream.id(), HEADERS_TOO_LARGE_HEADERS, 0, true, ctx.newPromise()); }
is history enabled|@Override public boolean () { if (log.isDebugEnabled()) { log.debug("Current history level: {}", historyLevel); } return !historyLevel.equals(HistoryLevel.NONE); }
create warn decision state|protected void (final Flow flow) { createDecisionState(flow, CasWebflowConstants.STATE_ID_WARN, "flowScope.warnCookieValue", CasWebflowConstants.STATE_ID_SHOW_WARNING_VIEW, CasWebflowConstants.STATE_ID_REDIRECT); }
rename to|@Override public void (String newName) throws IOException { File oldBuildDir = getBuildDir(); super.renameTo(newName); File newBuildDir = getBuildDir(); if (oldBuildDir.isDirectory() && !newBuildDir.isDirectory()) { if (!newBuildDir.getParentFile().isDirectory()) { newBuildDir.getParentFile().mkdirs(); } if (!oldBuildDir.renameTo(newBuildDir)) { throw new IOException("failed to rename " + oldBuildDir + " to " + newBuildDir); } } }
get response body as stream|@Override public InputStream () throws IOException { if (responseStream != null) { return responseStream; } if (responseBody != null) { InputStream byteResponseStream = new ByteArrayInputStream(responseBody); LOG.debug("re-creating response stream from byte array"); return byteResponseStream; } return null; }
put stats|public void (String route, String cause) { if (route == null) route = "UNKNOWN_ROUTE"; route = route.replace("/", "_"); ConcurrentHashMap<String, ErrorStatsData> statsMap = routeMap.get(route); if (statsMap == null) { statsMap = new ConcurrentHashMap<String, ErrorStatsData>(); routeMap.putIfAbsent(route, statsMap); } ErrorStatsData sd = statsMap.get(cause); if (sd == null) { sd = new ErrorStatsData(route, cause); ErrorStatsData sd1 = statsMap.putIfAbsent(cause, sd); if (sd1 != null) { sd = sd1; } else { MonitorRegistry.getInstance().registerObject(sd); } } sd.update(); }
get helper workspace|public <T extends Pointer> T (String key) { return helperWorkspacePointers == null ? null : (T) helperWorkspacePointers.get(key); }
find element|@Override public WebElement () { SlowLoadingElement loadingElement = new SlowLoadingElement(clock, timeOutInSeconds); try { return loadingElement.get().getElement(); } catch (NoSuchElementError e) { throw new NoSuchElementException(String.format("Timed out after %d seconds. %s", timeOutInSeconds, e.getMessage()), e.getCause()); } }
matches|@Override public boolean (final CharSequence rawPassword, final String encodedPassword) { if (StringUtils.isBlank(encodedPassword)) { LOGGER.warn("The encoded password provided for matching is null. Returning false"); return false; } var providedSalt = StringUtils.EMPTY; val lastDollarIndex = encodedPassword.lastIndexOf('$'); if (lastDollarIndex == -1) { providedSalt = encodedPassword.substring(0, 2); LOGGER.debug("Assuming DES UnixCrypt as no delimiter could be found in the encoded password provided"); } else { providedSalt = encodedPassword.substring(0, lastDollarIndex); LOGGER.debug("Encoded password uses algorithm [{}]", providedSalt.charAt(1)); } var encodedRawPassword = Crypt.crypt(rawPassword.toString(), providedSalt); var matched = StringUtils.equals(encodedRawPassword, encodedPassword); LOGGER.debug("Provided password does {}match the encoded password", BooleanUtils.toString(matched, StringUtils.EMPTY, "not ")); return matched; }
get all entries|private List<MergedIndexEntry> (long offsetAdjustment) { Exceptions.checkArgument(offsetAdjustment >= 0, "offsetAdjustment", "offsetAdjustment must be a non-negative number."); synchronized (this.lock) { List<MergedIndexEntry> result = new ArrayList<>(this.indexEntries.size()); this.indexEntries.forEach( entry -> { if (entry.isDataEntry()) { result.add(new MergedIndexEntry(entry.getStreamSegmentOffset() + offsetAdjustment, this.metadata.getId(), (CacheIndexEntry) entry)); } }); return result; } }
calculate current uri|protected String (HttpServletRequest request) throws UnsupportedEncodingException { ServletUriComponentsBuilder builder = ServletUriComponentsBuilder.fromRequest(request); // Now work around SPR-10172... String queryString = request.getQueryString(); boolean legalSpaces = queryString != null && queryString.contains("+"); if (legalSpaces) { builder.replaceQuery(queryString.replace("+", "%20")); } UriComponents uri = null; try { uri = builder.replaceQueryParam("code").build(true); } catch (IllegalArgumentException ex) { return null; } String query = uri.getQuery(); if (legalSpaces) { query = query.replace("%20", "+"); } return ServletUriComponentsBuilder.fromUri(uri.toUri()).replaceQuery(query).build().toString(); }
listen|public static void (ClipboardListener listener, boolean sync) { listen(ClipboardMonitor.DEFAULT_TRY_COUNT, ClipboardMonitor.DEFAULT_DELAY, listener, sync); }
write nested serializer snapshots|public final void (DataOutputView out) throws IOException { out.writeInt(MAGIC_NUMBER); out.writeInt(VERSION); out.writeInt(nestedSnapshots.length); for (TypeSerializerSnapshot<?> snap : nestedSnapshots) { TypeSerializerSnapshot.writeVersionedSnapshot(out, snap); } }
multiply|public Rational (final int val) { BigInteger tmp = BigInteger.valueOf(val); return multiply(tmp); }
set query timeout|private void (final Statement statement, final int timeoutSec) { if (isQueryTimeoutSupported != FALSE) { try { statement.setQueryTimeout(timeoutSec); isQueryTimeoutSupported = TRUE; } catch (Exception e) { if (isQueryTimeoutSupported == UNINITIALIZED) { isQueryTimeoutSupported = FALSE; logger.info("{} - Failed to set query timeout for statement. ({})", poolName, e.getMessage()); } } } }
get|@Override public DataSet (int i) { if (i >= numExamples() || i < 0) throw new IllegalArgumentException("invalid example number: must be 0 to " + (numExamples() - 1) + ", got " + i); if (i == 0 && numExamples() == 1) return this; return new DataSet(getHelper(features, i), getHelper(labels, i), getHelper(featuresMask, i), getHelper(labelsMask, i)); }
words|public List<VocabularyWord> () { List<VocabularyWord> vocab = new ArrayList<>(vocabulary.values()); Collections.sort(vocab, new Comparator<VocabularyWord>() { @Override public int compare(VocabularyWord o1, VocabularyWord o2) { return Integer.compare(o2.getCount(), o1.getCount()); } }); return vocab; }
build new field serializers index|private static <T> Map<Field, TypeSerializer<?>> (PojoSerializer<T> newPojoSerializer) { final Field[] newFields = newPojoSerializer.getFields(); final TypeSerializer<?>[] newFieldSerializers = newPojoSerializer.getFieldSerializers(); checkState(newFields.length == newFieldSerializers.length); int numFields = newFields.length; final Map<Field, TypeSerializer<?>> index = new HashMap<>(numFields); for (int i = 0; i < numFields; i++) { index.put(newFields[i], newFieldSerializers[i]); } return index; }
is valid|public boolean (K key, UUID ticket) { if (timeouts.containsKey(key)) { Timeout<K> timeout = timeouts.get(key); return timeout.getTicket().equals(ticket); } else { return false; } }
transform|@Override public Schema (Schema schema) { int nCols = schema.numColumns(); List<ColumnMetaData> meta = schema.getColumnMetaData(); List<ColumnMetaData> newMeta = new ArrayList<>(nCols); newMeta.addAll(meta); newMeta.add(new StringMetaData(outputColumnName)); return schema.newSchema(newMeta); }
quoted av|private String () { pos++; beg = pos; end = beg; while (true) { if (pos == length) { throw new IllegalStateException("Unexpected end of DN: " + dn); } if (chars[pos] == '"') { // enclosing quotation was found pos++; break; } else if (chars[pos] == '\\') { chars[end] = getEscaped(); } else { // shift char: required for string with escaped chars chars[end] = chars[pos]; } pos++; end++; } // (compatibility with RFC 1779) for (; pos < length && chars[pos] == ' '; pos++) { } return new String(chars, beg, end - beg); }
convert to page sql|public String (String sql, Integer offset, Integer limit) { //解析SQL Statement stmt; try { stmt = CCJSqlParserUtil.parse(sql); } catch (Throwable e) { throw new PageException("不支持该SQL转换为分页查询!", e); } if (!(stmt instanceof Select)) { throw new PageException("分页语句必须是Select查询!"); } //获取分页查询的select Select pageSelect = getPageSelect((Select) stmt); String pageSql = pageSelect.toString(); //缓存移到外面了，所以不替换参数 if (offset != null) { pageSql = pageSql.replace(START_ROW, String.valueOf(offset)); } if (limit != null) { pageSql = pageSql.replace(PAGE_SIZE, String.valueOf(limit)); } return pageSql; }
write|@Override public void (ChannelHandlerContext ctx, Object msg, ChannelPromise promise) { if (msg instanceof Http2DataFrame) { Http2DataFrame dataFrame = (Http2DataFrame) msg; encoder().writeData(ctx, dataFrame.stream().id(), dataFrame.content(), dataFrame.padding(), dataFrame.isEndStream(), promise); } else if (msg instanceof Http2HeadersFrame) { writeHeadersFrame(ctx, (Http2HeadersFrame) msg, promise); } else if (msg instanceof Http2WindowUpdateFrame) { Http2WindowUpdateFrame frame = (Http2WindowUpdateFrame) msg; Http2FrameStream frameStream = frame.stream(); // to set the Http2FrameStream so we assume if it is null the WINDOW_UPDATE is for the connection stream. try { if (frameStream == null) { increaseInitialConnectionWindow(frame.windowSizeIncrement()); } else { consumeBytes(frameStream.id(), frame.windowSizeIncrement()); } promise.setSuccess(); } catch (Throwable t) { promise.setFailure(t); } } else if (msg instanceof Http2ResetFrame) { Http2ResetFrame rstFrame = (Http2ResetFrame) msg; encoder().writeRstStream(ctx, rstFrame.stream().id(), rstFrame.errorCode(), promise); } else if (msg instanceof Http2PingFrame) { Http2PingFrame frame = (Http2PingFrame) msg; encoder().writePing(ctx, frame.ack(), frame.content(), promise); } else if (msg instanceof Http2SettingsFrame) { encoder().writeSettings(ctx, ((Http2SettingsFrame) msg).settings(), promise); } else if (msg instanceof Http2SettingsAckFrame) { // In the event of manual SETTINGS ACK is is assumed the encoder will apply the earliest received but not // yet ACKed settings. encoder().writeSettingsAck(ctx, promise); } else if (msg instanceof Http2GoAwayFrame) { writeGoAwayFrame(ctx, (Http2GoAwayFrame) msg, promise); } else if (msg instanceof Http2UnknownFrame) { Http2UnknownFrame unknownFrame = (Http2UnknownFrame) msg; encoder().writeFrame(ctx, unknownFrame.frameType(), unknownFrame.stream().id(), unknownFrame.flags(), unknownFrame.content(), promise); } else if (!(msg instanceof Http2Frame)) { ctx.write(msg, promise); } else { ReferenceCountUtil.release(msg); throw new UnsupportedMessageTypeException(msg); } }
submit to server in uri|private Observable<HttpClientResponse<O>> (HttpClientRequest<I> request, IClientConfig requestConfig, ClientConfig config, RetryHandler errorHandler, ExecutionContext<HttpClientRequest<I>> context) { // First, determine server from the URI URI uri; try { uri = new URI(request.getUri()); } catch (URISyntaxException e) { return Observable.error(e); } String host = uri.getHost(); if (host == null) { return null; } int port = uri.getPort(); if (port < 0) { if (Optional.ofNullable(clientConfig.get(IClientConfigKey.Keys.IsSecure)).orElse(false)) { port = 443; } else { port = 80; } } return LoadBalancerCommand.<HttpClientResponse<O>>builder().withRetryHandler(errorHandler).withLoadBalancerContext(lbContext).withListeners(listeners).withExecutionContext(context).withServer(new Server(host, port)).build().submit(this.requestToOperation(request, getRxClientConfig(requestConfig, config))); }
